file,title,schema_types,schema_count,has_Article,has_FAQPage,has_HowTo,has_ItemList,has_BreadcrumbList,has_VideoObject,has_TechArticle,has_DefinedTerm,hreflang,faq_section,comparison_table,author_byline,dateModified,freshness,word_count
crypto-technical-analysis-guide.html,Crypto Technical Analysis Guide: Best Practices for Beginners,"Article,BreadcrumbList,FAQPage,HowTo,ListItem",5,True,True,True,False,True,False,False,False,True,True,False,True,2026-05-11,INVALID,2287
crypto-technical-analysis-tools.html,Top 5 Crypto Technical Analysis Tools Compared,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,False,True,2026-05-15,INVALID,1872
crypto-technical-indicators-switzerland-understand-charts-2026.html,Crypto Technical Indicators Switzerland: Understand Charts 2026,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,False,True,True,2026-04-27,INVALID,3280
crypto-trading-tutorials.html,Crypto Trading Tutorials: Step-by-Step Guide for Beginners,"Article,BreadcrumbList,FAQPage,HowTo,ListItem",5,True,True,True,False,True,False,False,False,True,True,False,True,2026-05-11,INVALID,2197
doji-candle-crypto-explained.html,What Is a Doji Candle in Crypto? All Types Explained | ChartScope,"Article,BreadcrumbList,FAQPage,ListItem,VideoObject",5,True,True,False,False,True,True,False,False,True,False,True,True,2026-05-23T00:00:00+00:00,FRESH,4222
how-to-learn-crypto-trading-for-free.html,Learn Crypto Trading for Free: Beginner&#x27;s Guide to Free Resources,"Article,BreadcrumbList,FAQPage,HowTo,ListItem",5,True,True,True,False,True,False,False,False,True,True,False,True,2026-05-22,INVALID,2169
how-to-read-crypto-candlestick-charts.html,How to Read Crypto Candlestick Charts | ChartScope,"Article,BreadcrumbList,HowTo,ListItem",4,True,False,True,False,True,False,False,False,True,False,False,True,2026-04-29,INVALID,6253
how-to-track-crypto-portfolio-securely.html,Track Your Crypto Portfolio Securely | ChartScope,"Article,BreadcrumbList,HowTo,ListItem",4,True,False,True,False,True,False,False,False,True,False,True,True,2026-04-29,INVALID,6422
how-to-use-rsi-crypto-trading.html,How to Use RSI in Crypto Trading | ChartScope,"Article,BreadcrumbList,HowTo,ListItem",4,True,False,True,False,True,False,False,False,True,False,False,True,2026-04-29,INVALID,6188
interpreting-crypto-charts-romania-s-legal-context-2026.html,Interpreting Crypto Charts: Romania&#x27;s Legal Context 2026,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,False,True,True,2026-05-11,INVALID,3026
learn-crypto-chart-analysis-for-beginners-germany-2026.html,Learn Crypto Chart Analysis for Beginners Germany 2026,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-08,INVALID,3650
learn-crypto-chart-analysis-for-beginners-in-romania-2026.html,Learn Crypto Chart Analysis for Beginners in Romania 2026,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,False,True,True,2026-05-11,INVALID,3410
learn-crypto-charts-online-chartscope-france.html,Learn Crypto Charts Online | Chartscope France,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,True,True,True,2026-04-26,INVALID,2301
macd-crossover-crypto-explained.html,MACD Crossover Explained for Crypto Charts | ChartScope,"Article,BreadcrumbList,FAQPage,ListItem,VideoObject",5,True,True,False,False,True,True,False,False,True,False,True,True,2026-05-23T00:00:00+00:00,FRESH,3856
master-rsi-macd-crypto-chart-indicators-explained.html,Master RSI &amp; MACD: Crypto Chart Indicators Explained,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,True,True,True,2026-04-26,INVALID,2726
rsi-indicator-explained-for-crypto-charts-2026.html,RSI Indicator Explained for Crypto Charts 2026,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-08,INVALID,3383
rsi-macd-crypto-chart-indicators-explained-simply.html,RSI &amp; MACD: Crypto Chart Indicators Explained Simply,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,True,True,True,2026-04-26,INVALID,2673
rsi-macd-crypto-interpretation-luxembourg-2026.html,RSI &amp; MACD Crypto Interpretation Luxembourg 2026,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-04,INVALID,3651
rsi-macd-explained-simply-for-crypto-charts-2026.html,RSI &amp; MACD Explained Simply for Crypto Charts 2026,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-18,INVALID,3432
rsi-macd-indicators-explained-for-crypto-charts-2026.html,RSI &amp; MACD Indicators Explained for Crypto Charts 2026,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-25,INVALID,3776
rsi-vs-macd-vs-bollinger-bands-crypto-comparison-2026.html,RSI vs MACD vs Bollinger Bands: Which Crypto Indicator Works Best in 2026? | ChartScope,"Article,BreadcrumbList,DefinedTerm,FAQPage,ItemList,ListItem,TechArticle",7,True,True,False,True,True,False,True,True,True,True,True,True,2026-05-30T00:00:00+00:00,FRESH,4412
support-resistance-crypto-explained.html,Support and Resistance in Crypto Explained Simply | ChartScope,"Article,BreadcrumbList,FAQPage,ListItem,VideoObject",5,True,True,False,False,True,True,False,False,True,False,True,True,2026-05-23T00:00:00+00:00,FRESH,4121
technical-analysis-beginners.html,Technical Analysis for Crypto Beginners | ChartScope,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,False,False,True,2026-04-29,INVALID,3631
top-crypto-education-apps-with-market-data.html,Top Crypto Education Apps with Market Data &amp; User Reviews,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,False,True,2026-05-29,INVALID,1778
top-crypto-technical-indicators-for-analysis-in-romania-2026.html,Top Crypto Technical Indicators for Analysis in Romania 2026,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-13,INVALID,3871
understand-crypto-charts-in-romania-with-chartscope-2026.html,Understand Crypto Charts in Romania with Chartscope 2026,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-25,INVALID,3279
understand-rsi-macd-crypto-indicators-in-france-2026.html,Understand RSI &amp; MACD Crypto Indicators in France 2026,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,True,True,True,2026-05-13,INVALID,3450
understand-rsi-macd-for-crypto-charts-in-switzerland-2026.html,Understand RSI &amp; MACD for Crypto Charts in Switzerland 2026,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-20,INVALID,3183
understand-rsi-macd-for-crypto-in-luxembourg-2026.html,Understand RSI &amp; MACD for Crypto in Luxembourg 2026,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,True,True,True,2026-05-22,INVALID,3359
understanding-crypto-taxes-in-belgium-2026.html,Understanding Crypto Taxes in Belgium 2026,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,False,True,True,2026-05-15,INVALID,3247
understanding-crypto-volatility-german-regulations-2026.html,Understanding Crypto Volatility &amp; German Regulations 2026,"Article,BreadcrumbList,ListItem",3,True,False,False,False,True,False,False,False,True,False,True,True,2026-05-08,INVALID,3001
what-does-rsi-70-mean-crypto.html,What Does RSI 70 Mean in Crypto? (And RSI 30) | ChartScope,"Article,BreadcrumbList,FAQPage,ListItem",4,True,True,False,False,True,False,False,False,True,False,False,True,2026-05-23T00:00:00+00:00,FRESH,4156
